"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","www.economie.gouv.fr/46.105.202.193","443","INFO","-----BEGIN CERTIFICATE-----\nMIIGRDCCBSygAwIBAgIQNuYAhKpHrIkuWy19bvXOSTANBgkqhkiG9w0BAQsFADBfMQswCQYDVQQGEwJGUjEOMAwGA1UECBMFUGFyaXMxDjAMBgNVBAcTBVBhcmlzMQ4wDAYDVQQKEwVHYW5kaTEgMB4GA1UEAxMXR2FuZGkgU3RhbmRhcmQgU1NMIENBIDIwHhcNMjMwNjEzMDAwMDAwWhcNMjQwNjI0MjM1OTU5WjAfMR0wGwYDVQQDExR3d3cuZWNvbm9taWUuZ291di5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBANsHRb9BkUxaww09BvbxnMN21OTcOyxvItuNpky2kPVLDRUQ89BxWZRzf/sv0zPBGWnEZtrtSB8/o3CvG5S6z+9B4ndI6WRpVfacuIluTThfLp2y3qphrpUu4EkYzEGCydrrMEDvKA/b+wIHpbkbAGPNpTymJae2ZApzAbRi2+b2QRv6AS/G7AS3IRo56ucAntwVljHqve+6DfOmydwshMCFXH3129f6+TRXrxv7YYf6lEMf1NvR6JTgzo72/BBKWJ2Uf0Hfgm0iTIyVIDyc2u+WAqzVgjKjtmPJeCxgFMnql5gYZDMT/6baFfkABfbmYr2KbDJhKmfn0q9oWjaFHsUCAwEAAaOCAzowggM2MB8GA1UdIwQYMBaAFLOQp9jJr07NYTyffK1df0H9aTDqMB0GA1UdDgQWBBQAYVdsWaDc3T+3v7dseRtn8dQlmDAOBgNVHQ8BAf8EBAMCBaAwDAYDVR0TAQH/BAIwADAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwSwYDVR0gBEQwQjA2BgsrBgEEAbIxAQICGjAnMCUGCCsGAQUFBwIBFhlodHRwczovL2Nwcy51c2VydHJ1c3QuY29tMAgGBmeBDAECATBBBgNVHR8EOjA4MDagNKAyhjBodHRwOi8vY3JsLnVzZXJ0cnVzdC5jb20vR2FuZGlTdGFuZGFyZFNTTENBMi5jcmwwcwYIKwYBBQUHAQEEZzBlMDwGCCsGAQUFBzAChjBodHRwOi8vY3J0LnVzZXJ0cnVzdC5jb20vR2FuZGlTdGFuZGFyZFNTTENBMi5jcnQwJQYIKwYBBQUHMAGGGWh0dHA6Ly9vY3NwLnVzZXJ0cnVzdC5jb20wMQYDVR0RBCowKIIUd3d3LmVjb25vbWllLmdvdXYuZnKCEGVjb25vbWllLmdvdXYuZnIwggF9BgorBgEEAdZ5AgQCBIIBbQSCAWkBZwB2AHb/iD8KtvuVUcJhzPWHujS0pM27KdxoQgqf5mdMWjp0AAABiLOUId4AAAQDAEcwRQIhAJR92BiBsFVbbKuf30jwoH4qZGrHBqdp75sHJEeMYUH/AiBL9KcZHJHFznVak+x+LiR6OwXHtSPIekXkkarTmDGm0QB2ANq2v2s/tbYin5vCu1xr6HCRcWy7UYSFNL2kPTBI1/urAAABiLOUIksAAAQDAEcwRQIgRz/O5TxFjkv7uhvBP8C9xcxMYtZghBc/swrKiwh7PekCIQDuoNphGqDBT7MtDnPvrcoaaFRBNeDaJ9mRyuaYFAu5mAB1AO7N0GTV2xrOxVy3nbTNE6Iyh0Z8vOzew1FIWUZxH7WbAAABiLOUIgwAAAQDAEYwRAIgJ2MYjfIprgBLCIk1o5rl6fvidh5YsPa3t2vDxyEmfYYCIB8NdO+nlEzHNArF8tVmzTFanp21NgUbUCJ2FnB7+bVNMA0GCSqGSIb3DQEBCwUAA4IBAQBhHF42VDzK11BYhY4YumchuOCj/7E/LBTMJcvM+OA8ejVkJ2RIHhzUTUoBj7tb5lEj+6zBzekujAHjuC60b8JPCXl1CU9aeKsBmZFQIZRAVfXXIgPtBwn/3mJcVIirp5MSbbNfxXxds+Zz13Q2JZ7UnRE2TV6rfBgWmK3MqWrY+RxWmcFXExzT4C36T57Lt8RFfTScOq3LiL2VgOvsul/h/zKYyPTA9hvUCFzJKVQpAARLJ/1K+PXzeHpjITjHvHHVdFoD1J/QbGWEdU2X2XZZqXAtGzQulj3PrQxLEDK0jBReRShGrmXpHVe3piU5HeR6sRn56+cA7M2yfw8n/elz\n-----END CERTIFICATE-----","",""
"cert_commonName","www.economie.gouv.fr/46.105.202.193","443","OK","www.economie.gouv.fr","",""
"cert_commonName_wo_SNI","www.economie.gouv.fr/46.105.202.193","443","INFO","cdn.ovh.net","",""
"cert_subjectAltName","www.economie.gouv.fr/46.105.202.193","443","INFO","www.economie.gouv.fr economie.gouv.fr","",""
"cert_trust","www.economie.gouv.fr/46.105.202.193","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","www.economie.gouv.fr/46.105.202.193","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.economie.gouv.fr/46.105.202.193","443","INFO","no","",""
"cert_expirationStatus","www.economie.gouv.fr/46.105.202.193","443","OK","295 >= 60 days","",""
"cert_notBefore","www.economie.gouv.fr/46.105.202.193","443","INFO","2023-06-13 00:00","",""
"cert_notAfter","www.economie.gouv.fr/46.105.202.193","443","OK","2024-06-24 23:59","",""
